ID,Primary topic,Proposed title,Primary query,Search intent,Cluster,Subcluster,Content type,Audience,Source basis,Research flags,Legal/tech sensitivity,Closest related article,Differentiation reason,Internal link targets,Status
MM-0871,Mai Chau multi-day trip,Mai Chau by Motorbike: The Overnight Valley Trip From Hanoi,mai chau overnight motorbike trip from hanoi,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,thung-nai-hoa-binh-lake-motorbike-day-trip,"Overnight valley trip with QL6 route, Thung Khe Pass and homestay logistics; the Thung Nai guide covers the Hoa Binh lake day trip only","motorbike-trip-prep-checklist-hanoi, overnight-stays-motorbike-trips-vietnam, motorbike-trip-seasons-north-vietnam, servicing-before-long-trip-motorbike, mountain-pass-riding-motorbike-vietnam, how-to-rent-a-motorbike-hanoi",published
MM-0872,Moc Chau plateau trip,Moc Chau by Motorbike: Plateau Riding Two Days From Hanoi,moc chau motorbike trip from hanoi,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,mai-chau-overnight-motorbike-trip-hanoi,Plateau destination guide beyond Mai Chau on QL6 with fuel and altitude planning; the Mai Chau guide stops at the valley,"motorbike-trip-prep-checklist-hanoi, motorbike-trip-seasons-north-vietnam, mountain-pass-riding-motorbike-vietnam, overnight-stays-motorbike-trips-vietnam, how-far-motorbike-day-trip-hanoi, servicing-before-long-trip-motorbike",published
MM-0873,Cat Ba and Ha Long trip,Cat Ba and Ha Long by Motorbike: The Ferry Trip From Hanoi,cat ba motorbike trip from hanoi ferry,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,motorbike-ferry-train-transport-vietnam,Island trip with motorbike ferry logistics and two road options; the ferry/train guide covers bike transport generally,"motorbike-ferry-train-transport-vietnam, motorbikes-on-expressway-vietnam, motorbike-trip-prep-checklist-hanoi, overnight-stays-motorbike-trips-vietnam, motorbike-trip-budget-from-hanoi, how-to-rent-a-motorbike-hanoi",published
MM-0874,Ha Giang loop,"The Ha Giang Loop by Motorbike: Route, Days and What to Expect",ha giang loop motorbike guide,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,mountain-pass-riding-motorbike-vietnam,"Full loop itinerary with permits, passes and honest difficulty framing; the pass guide covers technique only","motorbike-trip-prep-checklist-hanoi, motorbike-trip-navigation-offline-maps-vietnam, mountain-pass-riding-motorbike-vietnam, servicing-before-long-trip-motorbike, overnight-stays-motorbike-trips-vietnam, can-tourists-ride-motorbike-vietnam, motorbike-trip-budget-from-hanoi",published
MM-0875,Cao Bang and Ban Gioc,Cao Bang and Ban Gioc by Motorbike: The Northeast Waterfall Trip,cao bang ban gioc motorbike trip from hanoi,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,ba-be-lake-motorbike-trip-hanoi,Border-waterfall destination guide on QL3 with Ma Phuc Pass; the Ba Be guide covers the lake leg,"motorbike-trip-prep-checklist-hanoi, motorbike-trip-navigation-offline-maps-vietnam, mountain-pass-riding-motorbike-vietnam, overnight-stays-motorbike-trips-vietnam, motorbike-trip-budget-from-hanoi, northeast-vietnam-motorbike-loop",published
MM-0876,Ba Be Lake trip,Ba Be Lake by Motorbike: The Northeast Lakes Trip From Hanoi,ba be lake motorbike trip from hanoi,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,cao-bang-ban-gioc-motorbike-trip,Lake and national-park destination guide with boat and homestay logistics; the Cao Bang guide continues to the waterfall,"motorbike-trip-prep-checklist-hanoi, overnight-stays-motorbike-trips-vietnam, motorbike-trip-navigation-offline-maps-vietnam, motorbike-trip-seasons-north-vietnam, cao-bang-ban-gioc-motorbike-trip, northeast-vietnam-motorbike-loop",published
MM-0877,Northeast loop,The Northeast Vietnam Loop by Motorbike: Route and Planning Guide,northeast vietnam motorbike loop itinerary,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,cao-bang-ban-gioc-motorbike-trip,"Multi-province circuit guide linking Ba Be, Cao Bang, Ban Gioc and Lang Son; the single-destination guides cover each leg","motorbike-trip-prep-checklist-hanoi, motorbike-trip-navigation-offline-maps-vietnam, cao-bang-ban-gioc-motorbike-trip, ba-be-lake-motorbike-trip-hanoi, lang-son-motorbike-trip-hanoi, overnight-stays-motorbike-trips-vietnam, motorbike-trip-budget-from-hanoi",published
MM-0878,Northwest loop,The Northwest Vietnam Loop by Motorbike: The Big Mountain Circuit,northwest vietnam motorbike loop itinerary,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,sapa-motorbike-trip-hanoi,"Ten-day big-mountain circuit across Son La, Dien Bien and Lai Chau; the Sapa guide covers the Sapa leg only","motorbike-trip-prep-checklist-hanoi, mountain-pass-riding-motorbike-vietnam, motorbike-trip-seasons-north-vietnam, motorbike-trip-navigation-offline-maps-vietnam, overnight-stays-motorbike-trips-vietnam, sapa-motorbike-trip-hanoi, mai-chau-overnight-motorbike-trip-hanoi, moc-chau-motorbike-trip-hanoi",published
MM-0879,Lang Son trip,Lang Son by Motorbike: The Border Gateway Trip From Hanoi,lang son motorbike trip from hanoi,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,northeast-vietnam-motorbike-loop,Border-gateway destination guide with the bike-legal QL1A route and Bac Son valley; the northeast loop guide covers the full circuit,"motorbikes-on-expressway-vietnam, motorbike-trip-prep-checklist-hanoi, overnight-stays-motorbike-trips-vietnam, northeast-vietnam-motorbike-loop, can-tourists-ride-motorbike-vietnam, motorbike-trip-seasons-north-vietnam",published
MM-0880,Sapa trip,Sapa by Motorbike: The Long Ride West From Hanoi,sapa motorbike trip from hanoi,informational,13-trips,13.2 multi-day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,northwest-vietnam-motorbike-loop,Sapa destination guide comparing direct and scenic rides with altitude planning; the northwest loop guide covers the full circuit,"motorbike-trip-prep-checklist-hanoi, mountain-pass-riding-motorbike-vietnam, motorbike-trip-seasons-north-vietnam, motorbike-ferry-train-transport-vietnam, overnight-stays-motorbike-trips-vietnam, northwest-vietnam-motorbike-loop, can-tourists-ride-motorbike-vietnam",published
