ID,Primary topic,Proposed title,Primary query,Search intent,Cluster,Subcluster,Content type,Audience,Source basis,Research flags,Legal/tech sensitivity,Closest related article,Differentiation reason,Internal link targets,Status
MM-0705,"What Is an Electric Motorbike","What Is an Electric Motorbike in Vietnam? Xe May Dien Explained","what is an electric motorbike vietnam",informational,7-electric,7.1 understanding-electric,guide,"new riders",general-research,R1+R4,legal-classification,"electric-bike-licence-vietnam","Legal-category definition hub article; the licence canonical covers only licence rules, not what the category is",""electric-bike-licence-vietnam, electric-moped-vs-electric-motorcycle-vietnam, pedal-e-bike-vs-scooter-electric-vietnam, electric-two-wheeler-speed-classes-vietnam"",published
MM-0706,"Moped vs Motorcycle Electric","Electric Moped vs Electric Motorcycle in Vietnam: The 4 kW Line","electric moped vs electric motorcycle 4kw",informational,7-electric,7.1 understanding-electric,guide,"prospective buyers",general-research,R1,legal-boundary,"electric-bike-licence-vietnam","Power-boundary explainer; licence canonical covers all classes, this covers the practical boundary between them",""what-is-electric-motorbike-vietnam, electric-bike-licence-vietnam, fast-electric-motorbike-licence-vietnam, why-electric-mopeds-capped-50kmh-vietnam"",published
MM-0707,"Pedal vs Scooter Electric","Pedal E-Bike vs Scooter-Style Electric in Vietnam","pedal e-bike vs scooter electric vietnam",informational,7-electric,7.1 understanding-electric,guide,"commuters",general-research,R1,none,"50cc-vs-e-bike-vietnam","Body-format comparison; the 50cc article compares petrol vs electric, this compares two electric formats",""what-is-electric-motorbike-vietnam, 50cc-vs-e-bike-vietnam, electric-bike-licence-vietnam, e-bike-helmet-rules-vietnam"",published
MM-0708,"How Electrics Work","How Electric Motorbikes Work: Motor, Battery, Controller","how do electric motorbikes work",informational,7-electric,7.1 understanding-electric,guide,"new riders",general-research,R3,none,"how-motorbikes-work","Component explainer using verified model data; distinct from any petrol mechanics explainer by electric-only scope",""what-is-electric-motorbike-vietnam, regen-braking-explained-electric, electric-motorbike-battery-lifespan-vietnam, electric-motorbike-maintenance-basics"",published
MM-0709,"Speed Classes","Electric Two-Wheeler Speed Classes in Vietnam: 25, 50, 70 and 90 km/h","electric bike speed classes vietnam",informational,7-electric,7.1 understanding-electric,guide,"prospective buyers",general-research,R1+R3,none,"electric-two-wheeler-speed-classes-vietnam","Speed-band overview from verified model data; distinct from licence rules article by organizing models by speed band",""what-is-electric-motorbike-vietnam, electric-moped-vs-electric-motorcycle-vietnam, why-electric-mopeds-capped-50kmh-vietnam, best-motorbike-for-hanoi-traffic"",published
MM-0710,"Electric vs Petrol","Electric vs Petrol Motorbike in Hanoi: Running Costs, Noise and Convenience","electric vs petrol motorbike hanoi",informational,7-electric,7.1 understanding-electric,guide,"commuters",general-research,R4,none,"electric-vs-petrol-motorbike-hanoi","City-format trade-off comparison using verified cost data only; cost-ownership article covers the money in depth",""what-is-electric-motorbike-vietnam, electric-motorbike-cost-ownership-vietnam, best-motorbike-for-hanoi-traffic, monthly-motorbike-rental-hanoi"",published
MM-0711,"Riding at 16","Riding an Electric Moped at 16 in Vietnam: Rules for Young Riders","riding electric moped at 16 vietnam",informational,7-electric,7.2 legal-electric,legal,"young riders and parents",general-research,R1,legal-age,"riding-50cc-at-16-vietnam","Electric-specific age rules; the 50cc article covers the petrol moped age rules, this covers electric",""electric-bike-licence-vietnam, e-bike-helmet-rules-vietnam, 50cc-licence-vietnam, riding-50cc-at-16-vietnam"",published
MM-0712,"50 km/h Cap","Why Are Electric Mopeds Capped at 50 km/h in Vietnam?","why are electric mopeds capped at 50 kmh",informational,7-electric,7.2 legal-electric,legal,"prospective buyers",general-research,R1,legal-definition,"why-electric-mopeds-capped-50kmh-vietnam","Explains the design-speed rule as product-category logic; the moped-vs-motorcycle article covers the boundary practically",""electric-bike-licence-vietnam, electric-moped-vs-electric-motorcycle-vietnam, 50cc-licence-vietnam, what-is-electric-motorbike-vietnam"",published
MM-0713,"Helmet Rules","Helmet Rules for E-Bikes and Electric Scooters in Vietnam","e-bike helmet rules vietnam",informational,7-electric,7.2 legal-electric,legal,"riders",general-research,R1,legal-helmet,"helmet-rules-50cc-mopeds","Electric-specific helmet rules; the 50cc article covers moped helmet rules, the canonical covers the whole law",""helmet-law-vietnam, helmet-care-replacing-guide-vietnam, electric-bike-licence-vietnam, riding-electric-moped-16-vietnam"",published
MM-0714,"Foreigners Renting","Can Foreigners Rent an E-Bike or Electric Motorbike in Vietnam?","can foreigners rent electric bike vietnam",commercial,7-electric,7.2 legal-electric,faq,"foreign tourists and expats",general-research,R1+R4,none,"can-tourists-ride-motorbike-vietnam","Rental-practice answer for the electric format; the tourist canonical covers petrol rental rules broadly",""electric-bike-licence-vietnam, can-tourists-ride-motorbike-vietnam, e-bike-monthly-rental-hanoi, fast-electric-motorbike-licence-vietnam"",published
MM-0715,"Law Myths","Electric Bike Law Myths in Vietnam: What Is Actually True","electric bike law myths vietnam",informational,7-electric,7.2 legal-electric,legal,"riders",general-research,R1,legal-myths,"50cc-motorbike-myths-law-vietnam","Myth-correction article for electric; the 50cc myths article covers petrol moped myths",""electric-bike-licence-vietnam, e-bike-helmet-rules-vietnam, why-electric-mopeds-capped-50kmh-vietnam, motorbike-fines-vietnam-overview"",published
MM-0716,"Home Charging","Charging an Electric Motorbike at Home in Vietnam: Sockets, Times and Habits","charging electric motorbike at home vietnam",informational,7-electric,7.3 riding-charging,guide,"owners",general-research,R3,none,"charging-electric-motorbike-at-home-vietnam","Home-charging practice; swap-vs-home covers the fuel-model comparison, this covers the home routine in depth",""battery-swap-vs-home-charging-vietnam, electric-motorbike-battery-lifespan-vietnam, charging-safety-home-electric-bike, where-to-charge-electric-motorbike-hanoi"",published
MM-0717,"Swap vs Charge","Battery Swapping vs Home Charging in Vietnam: Which Fits You","battery swapping vs home charging vietnam",informational,7-electric,7.3 riding-charging,guide,"prospective buyers",general-research,R3+R4,none,"battery-swap-vs-home-charging-vietnam","Fuel-model decision guide using verified VinFast/Dat Bike data; ecosystems comparison covers brands, this covers fuel models",""charging-electric-motorbike-at-home-vietnam, vinfast-vs-dat-bike-ecosystems, electric-motorbike-cost-ownership-vietnam, vinfast-battery-rental-vs-buying"",published
MM-0718,"Real Range","Real-World Electric Motorbike Range in Vietnam: Why Claimed Numbers Shrink","electric motorbike real world range vietnam",informational,7-electric,7.3 riding-charging,guide,"owners",general-research,R3,none,"electric-motorbike-range-real-world-vietnam","Test-condition explainer; distinct from reviews which quote claims, and from the day-trip article which applies the math to routes",""electric-two-wheeler-speed-classes-vietnam, electric-motorbike-commuting-hanoi, electric-motorbike-day-trips-range-planning-hanoi, battery-swap-vs-home-charging-vietnam"",published
MM-0719,"Rain Riding","Riding an Electric Motorbike in Hanoi Rain: Water, IP Ratings and Grip","riding electric motorbike rain ip rating",informational,7-electric,7.3 riding-charging,guide,"owners",general-research,R3,none,"50cc-in-the-rain-vietnam","Electric-specific wet riding (IP ratings, regen in wet); the 50cc article covers petrol wet riding",""flooded-streets-riding-motorbike-vietnam, after-rain-slippery-roads-motorbike, washing-electric-motorbike-safely, 50cc-in-the-rain-vietnam"",published
MM-0720,"Regen Braking","Regenerative Braking on Electric Motorbikes Explained","regenerative braking electric motorbike",informational,7-electric,7.3 riding-charging,guide,"owners",general-research,R3,none,"regen-braking-explained-electric","Component-behaviour explainer; the how-it-works article covers the whole drivetrain, this covers regen only",""how-electric-motorbikes-work, riding-electric-motorbike-hanoi-rain, electric-motorbike-range-real-world-vietnam, brake-checks-motorbike-vietnam"",published
MM-0721,"Commuting","Commuting on an Electric Motorbike in Hanoi: A Practical Guide","electric motorbike commuting hanoi",informational,7-electric,7.3 riding-charging,guide,"commuters",general-research,R4,none,"best-motorbike-for-commuting-hanoi","Electric-specific commute planning; the general commuting article covers petrol formats",""electric-motorbike-range-real-world-vietnam, charging-electric-motorbike-at-home-vietnam, best-motorbike-for-hanoi-traffic, e-bike-monthly-rental-hanoi"",published
MM-0722,"Two-Up","Riding an Electric Motorbike Two-Up in Vietnam","riding electric motorbike with passenger",informational,7-electric,7.3 riding-charging,guide,"owners",general-research,R3,none,"riding-electric-moped-16-vietnam","Electric-specific passenger guide (load, regen, torque); general passenger safety is covered separately",""e-bike-helmet-rules-vietnam, regen-braking-explained-electric, electric-motorbike-range-real-world-vietnam, riding-electric-moped-16-vietnam"",published
MM-0723,"Silent Safety","Riding a Silent Motorbike Safely: Electric Visibility on Hanoi Streets","riding silent electric motorbike safety",informational,7-electric,7.3 riding-charging,guide,"all riders",general-research,R5,none,"electric-motorbike-silent-riding-safety","Quiet-motor risk article; the visibility article covers gear and lights, this covers riding technique",""staying-visible-electric-motorbike, riding-electric-motorbike-hanoi-rain, best-motorbike-for-hanoi-traffic, e-bike-helmet-rules-vietnam"",published
