MM-0417,Honda Sh mode 125 review,"Honda SH Mode 125 Review: The Junior SH with Real Substance",honda sh mode 125 review,informational,3-scooters,3.1 model-reviews,model-review,riders choosing a scooter in Vietnam,manufacturer-research,R3,technical-specs,"Premium Scooters in Vietnam","Premium-lite model deep-dive with verified Honda VN specs; distinct from SH160i and from premium overview","premium-scooters-vietnam, honda-sh-mode-125-vs-honda-sh-160, smart-key-scooters-vietnam, which-scooters-have-abs-vietnam, scooter-underseat-storage-comparison",published
MM-0418,Honda SH160i/125i review,"Honda SH160i/125i Review: Vietnam's Status Scooter Explained",honda sh 160 review,informational,3-scooters,3.1 model-reviews,model-review,riders choosing a scooter in Vietnam,manufacturer-research,R3,technical-specs,"Premium Scooters in Vietnam","Flagship SH deep review with verified specs incl. HSTC; overview article covers tiers only","premium-scooters-vietnam, honda-sh-mode-125-review, honda-sh-mode-125-vs-honda-sh-160, which-scooters-have-abs-vietnam, smart-key-scooters-vietnam",published
MM-0419,Honda Vario 160 review,"Honda Vario 160 Review: The Aggressive New Sporty Commuter",honda vario 160 review,informational,3-scooters,3.1 model-reviews,model-review,riders choosing a scooter in Vietnam,manufacturer-research,R3,technical-specs,"Honda Air Blade 160 Review","Newest 160-class Honda with verified specs; distinct from Air Blade 160 review","honda-vario-160-vs-yamaha-nvx-155, yamaha-nvx-155-vs-honda-air-blade-160, which-scooters-have-abs-vietnam, honda-esaf-frame-explained, scooter-tyre-sizes-explained",published
MM-0420,Honda Vario 125 review,"Honda Vario 125 Review: Light, Smart and Ready for the City",honda vario 125 review,informational,3-scooters,3.1 model-reviews,model-review,riders choosing a scooter in Vietnam,manufacturer-research,R3,technical-specs,"Honda Vario 160 Review","125 variant with own verified figures; not a duplicate of the 160 review","honda-vario-125-vs-yamaha-latte-125, honda-vario-125-vs-honda-lead-125, honda-scooter-lineup-vietnam-explained, smart-key-scooters-vietnam, scooter-underseat-storage-comparison",published
MM-0421,Yamaha NVX 155 review,"Yamaha NVX 155 Review: The Sporty Scooter with Real Hardware",yamaha nvx 155 review,informational,3-scooters,3.1 model-reviews,model-review,riders choosing a scooter in Vietnam,manufacturer-research,R3,technical-specs,"Yamaha FreeGo 125 Review","Sporty Yamaha flagship with verified specs; first NVX review on site","honda-vario-160-vs-yamaha-nvx-155, yamaha-nvx-155-vs-honda-air-blade-160, yamaha-vva-explained, which-scooters-have-abs-vietnam, smart-key-scooters-vietnam",published
MM-0422,Yamaha Latte 125 review,"Yamaha Latte 125 Review: Style, Storage and a Very Light Chassis",yamaha latte 125 review,informational,3-scooters,3.1 model-reviews,model-review,riders choosing a scooter in Vietnam,manufacturer-research,R3,technical-specs,"Yamaha Grande Review","Lightest 125 with 37L storage; distinct from Grande style review","honda-vario-125-vs-yamaha-latte-125, yamaha-latte-vs-yamaha-grande, yamaha-scooter-lineup-vietnam-explained, scooter-underseat-storage-comparison, lightest-motorbikes-for-new-riders",published
MM-0423,SH Mode 125 vs SH160i,"Honda SH Mode 125 vs SH160i: Which Premium Honda Makes Sense?",honda sh mode vs sh 160,commercial,3-scooters,3.2 model-comparisons,guide,buyers comparing premium Hondas,manufacturer-research,R3,technical-specs,"Premium Scooters in Vietnam","Intra-brand premium-tier comparison; reviews cover single models only","honda-sh-mode-125-review, honda-sh-160-review, premium-scooters-vietnam, scooter-seat-heights-comparison-vietnam, scooter-fuel-economy-comparison-vietnam",published
MM-0424,Vario 160 vs NVX 155,"Honda Vario 160 vs Yamaha NVX 155: The Sporty Scooter Duel",honda vario 160 vs yamaha nvx 155,commercial,3-scooters,3.2 model-comparisons,guide,buyers comparing sporty scooters,manufacturer-research,R3,technical-specs,"Yamaha NVX 155 Review","Newest sporty head-to-head; no existing cross-brand 160-class duel","honda-vario-160-review, yamaha-nvx-155-review, which-scooters-have-abs-vietnam, scooter-kerb-weights-vietnam-verified, scooter-power-torque-explained",published
MM-0425,Vario 125 vs Latte 125,"Honda Vario 125 vs Yamaha Latte: New Rival, Classic Trade-Offs",honda vario 125 vs yamaha latte,commercial,3-scooters,3.2 model-comparisons,guide,buyers comparing 125cc city scooters,manufacturer-research,R3,technical-specs,"Honda Vario 125 Review","Cross-brand new-generation 125 comparison; distinct from reviews","honda-vario-125-review, yamaha-latte-125-review, air-cooled-vs-liquid-cooled-motorbike, scooter-fuel-economy-comparison-vietnam, scooter-underseat-storage-comparison",published
MM-0426,NVX 155 vs Air Blade 160,"Yamaha NVX 155 vs Honda Air Blade 160: Two Ways to Be Fast",yamaha nvx vs air blade 160,commercial,3-scooters,3.2 model-comparisons,guide,buyers comparing sporty commuters,manufacturer-research,R3,technical-specs,"Honda Air Blade 160 Review","Established sporty-commuter duel; distinct from Vario-vs-NPX new-generation duel","yamaha-nvx-155-review, honda-air-blade-160-review, honda-vario-160-vs-yamaha-nvx-155, scooter-kerb-weights-vietnam-verified, which-scooters-have-abs-vietnam",published
MM-0427,Latte vs Grande,"Yamaha Latte vs Yamaha Grande: Two Style Scooters, One Garage",yamaha latte vs grande,commercial,3-scooters,3.2 model-comparisons,guide,buyers comparing Yamaha style scooters,manufacturer-research,R3,technical-specs,"Yamaha Grande Review","Intra-brand style comparison; no existing Yamaha-vs-Yamaha style article","yamaha-latte-125-review, yamaha-grande-review, honda-lead-vs-yamaha-grande, scooter-underseat-storage-comparison, yamaha-scooter-lineup-vietnam-explained",published
MM-0428,Vario 125 vs Lead 125,"Honda Vario 125 vs Honda Lead 125: Sporty Newcomer vs Cargo King",honda vario 125 vs lead 125,commercial,3-scooters,3.2 model-comparisons,guide,buyers comparing Honda 125s,manufacturer-research,R3,technical-specs,"Honda Lead 125 Review","Intra-brand 125 duel: equipment vs cargo; distinct from Air Blade comparisons","honda-vario-125-review, honda-lead-125-review, honda-scooter-lineup-vietnam-explained, scooter-underseat-storage-comparison, scooter-seat-heights-comparison-vietnam",published
MM-0429,SH Mode vs Air Blade 160,"Honda SH Mode 125 vs Honda Air Blade 160: Badge or Pace?",honda sh mode vs air blade 160,commercial,3-scooters,3.2 model-comparisons,guide,buyers weighing premium style vs pace,manufacturer-research,R3,technical-specs,"Premium Scooters in Vietnam","Premium-badge vs sporty-pace trade-off; no existing cross-tier comparison","honda-sh-mode-125-review, honda-air-blade-160-review, premium-scooters-vietnam, honda-sh-mode-125-vs-honda-sh-160, scooter-seat-heights-comparison-vietnam",published
MM-0430,Honda scooter lineup explained,"The Honda Scooter Lineup in Vietnam Explained: Vision to SH",honda scooter lineup vietnam,informational,3-scooters,3.3 choosing-guides,guide,buyers choosing a Honda scooter,manufacturer-research,R3,technical-specs,"Honda vs Yamaha Scooters in Vietnam","Whole-lineup orientation guide; reviews cover single models only","honda-vision-110-review, honda-air-blade-160-review, honda-lead-125-review, honda-sh-mode-125-review, honda-sh-160-review, honda-vario-160-review, honda-vs-yamaha-scooters-vietnam, 110cc-vs-125cc-scooters",published
MM-0431,Yamaha scooter lineup explained,"The Yamaha Scooter Lineup in Vietnam Explained: Janus to NVX",yamaha scooter lineup vietnam,informational,3-scooters,3.3 choosing-guides,guide,buyers choosing a Yamaha scooter,manufacturer-research,R3,technical-specs,"Honda vs Yamaha Scooters in Vietnam","Whole-lineup orientation guide; complements Honda lineup guide","yamaha-janus-125-review, yamaha-freego-125-review, yamaha-grande-review, yamaha-latte-125-review, yamaha-nvx-155-review, honda-vs-yamaha-scooters-vietnam, scooters-with-smart-keys-vietnam-verified",published
MM-0432,Smart-key model list,"Scooters with Smart Keys in Vietnam: The Verified Model List",which scooters have smart keys vietnam,informational,3-scooters,3.3 choosing-guides,guide,buyers comparing scooter features,manufacturer-research,R3,technical-specs,"Smart Key Scooters","Model-by-model data list; existing article explains how smart keys work","smart-key-scooters-vietnam, honda-scooter-lineup-vietnam-explained, yamaha-scooter-lineup-vietnam-explained, honda-sh-mode-125-review, yamaha-nvx-155-review",published
MM-0433,Two-up scooter choosing,"Best Scooters for Two-Up Riding in Vietnam: Verified Figures",best scooter for passenger vietnam,informational,3-scooters,3.3 choosing-guides,guide,riders carrying pillions,manufacturer-research,R3,technical-specs,"Best Motorbike for Two People Hanoi","Verified two-up data ranking; rental article covers rates and areas only","motorbike-passenger-rules-vietnam, second-helmet-passengers-vietnam, balancing-pillion-riding-motorbike-vietnam, scooter-kerb-weights-vietnam-verified, scooter-wheelbase-stability-explained",published
MM-0434,eSP vs Blue Core,"eSP vs Blue Core: Honda and Yamaha Engine Families Explained",honda esp vs yamaha blue core,informational,3-scooters,3.4 specs-explained,guide,riders comparing engines,manufacturer-research,R3,technical-specs,"Honda vs Yamaha Scooters in Vietnam","Engine-family explainer with verified outputs; no existing family comparison","honda-vs-yamaha-scooters-vietnam, honda-scooter-lineup-vietnam-explained, yamaha-scooter-lineup-vietnam-explained, air-cooled-vs-liquid-cooled-motorbike, scooter-fuel-economy-comparison-vietnam",published
MM-0435,VVA explained,"Yamaha VVA Explained: Variable Valve Timing on Vietnamese Scooters",what is yamaha vva,informational,3-scooters,3.4 specs-explained,guide,riders decoding spec sheets,manufacturer-research,R3,technical-specs,"Yamaha NVX 155 Review","Technology explainer; review covers the whole bike only","yamaha-nvx-155-review, esp-vs-blue-core-engines-explained, scooter-power-torque-explained, honda-vario-160-vs-yamaha-nvx-155, air-cooled-vs-liquid-cooled-motorbike",published
MM-0436,eSAF explained,"Honda eSAF Frames Explained: The Light Scooter Platform",what is honda esaf frame,informational,3-scooters,3.4 specs-explained,guide,riders decoding spec sheets,manufacturer-research,R3,technical-specs,"Honda Vario 160 Review","Frame-technology explainer; no existing chassis-construction article","honda-sh-mode-125-review, honda-vario-160-review, scooter-kerb-weights-vietnam-verified, honda-scooter-lineup-vietnam-explained, scooter-wheelbase-stability-explained",published
MM-0437,TFT vs LCD displays,"TFT vs LCD Scooter Displays: What You Actually Get",scooter tft vs lcd display,informational,3-scooters,3.4 specs-explained,guide,buyers comparing scooter features,manufacturer-research,R3,technical-specs,"How to Read a Scooter Spec Sheet","Instrument-technology explainer with verified model applications","honda-sh-mode-125-review, honda-sh-160-review, yamaha-nvx-155-review, reading-scooter-spec-sheet, honda-vario-160-review",published
MM-0438,Kerb weights table,"Scooter Kerb Weights in Vietnam: The Verified Table",scooter weight comparison vietnam,informational,3-scooters,3.4 specs-explained,guide,riders comparing scooter specs,manufacturer-research,R3,technical-specs,"Lightest Motorbikes for New Riders","Verified data table; audience guide covers rider choice not model data","lightest-motorbikes-for-new-riders, best-motorbikes-for-tall-riders-vietnam, best-scooters-two-up-riding-vietnam, honda-esaf-frame-explained, scooter-wheelbase-stability-explained",published
MM-0439,Wheelbase explained,"Scooter Wheelbase and Stability: Verified Figures Explained",scooter wheelbase stability,informational,3-scooters,3.4 specs-explained,guide,riders comparing scooter specs,manufacturer-research,R3,technical-specs,"16-inch Wheel Scooters","Geometry explainer with verified wheelbase table; wheel-size article covers wheels only","honda-sh-160-review, yamaha-nvx-155-review, scooter-kerb-weights-vietnam-verified, 16-inch-wheel-scooters-vietnam, scooter-tyre-sizes-explained",published
MM-0440,HSTC explained,"Honda HSTC Explained: Traction Control on a Vietnamese Scooter",honda hstc traction control,informational,3-scooters,3.4 specs-explained,guide,riders comparing safety tech,manufacturer-research,R3,technical-specs,"Which Scooters Have ABS in Vietnam","First traction-control explainer; ABS article covers braking only","honda-sh-160-review, which-scooters-have-abs-vietnam, emergency-braking-motorbike-vietnam, after-rain-slippery-roads-motorbike, honda-sh-mode-125-vs-honda-sh-160",published
MM-0441,Verified list prices,"What a New Scooter Costs in Vietnam: Verified 2026 List Prices",new scooter prices vietnam,commercial,3-scooters,3.4 specs-explained,guide,buyers budgeting a scooter purchase,manufacturer-research,R3,technical-specs,"Premium Scooters in Vietnam","Class-wide verified price table; premium article covers one tier only","honda-scooter-lineup-vietnam-explained, yamaha-scooter-lineup-vietnam-explained, renting-vs-buying-a-motorbike-hanoi, premium-scooters-vietnam, long-term-renting-vs-buying-residents-hanoi",published
