ID,Primary topic,Proposed title,Primary query,Search intent,Cluster,Subcluster,Content type,Audience,Source basis,Research flags,Legal/tech sensitivity,Closest related article,Differentiation reason,Internal link targets,Status
MM-0848,Tam Dao day trip,Tam Dao by Motorbike: The Hill Station Day Trip From Hanoi,tam dao day trip from hanoi by motorbike,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,best-motorbike-for-day-trips-from-hanoi,Route/destination guide for the hill station ride; the bike-choice guide covers machine selection only,"best-motorbike-for-day-trips-from-hanoi, mountain-pass-riding-motorbike-vietnam, fog-and-low-visibility-riding-motorbike, servicing-before-long-trip-motorbike, how-to-rent-a-motorbike-hanoi",published
MM-0849,Ba Vi National Park day trip,Ba Vi National Park by Motorbike: Forest Climb West of Hanoi,ba vi national park motorbike day trip from hanoi,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,tam-dao-day-trip-motorbike,National-park forest climb destination guide; Tam Dao guide covers the other massif town experience,"best-motorbike-for-day-trips-from-hanoi, mountain-pass-riding-motorbike-vietnam, riding-downhill-motorbike-engine-braking, tam-dao-day-trip-motorbike, how-to-rent-a-motorbike-hanoi",published
MM-0850,Duong Lam ancient village ride,Duong Lam Ancient Village by Motorbike: Back Roads to Vietnam’s Oldest Village Houses,duong lam ancient village day trip from hanoi,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,bat-trang-pottery-village-motorbike-ride,Heritage-village ride west of Hanoi; Bat Trang guide covers the east-bank pottery village,"best-motorbike-for-day-trips-from-hanoi, red-river-dyke-riding-guide, hanoi-riding-seasons-guide, how-to-rent-a-motorbike-hanoi, what-to-carry-riding-motorbike-vietnam",published
MM-0851,Thay and Tay Phuong pagodas ride,Thay and Tay Phuong Pagodas by Motorbike: The Southwest Half-Day Ride,thay pagoda tay phuong pagoda day trip hanoi motorbike,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,hanoi-pagodas-temples-motorbike-guide,Pagoda-pair route guide outside the city; the cluster-12 pagodas guide covers in-city temples,"best-motorbike-for-day-trips-from-hanoi, hanoi-pagodas-temples-motorbike-guide, temple-of-literature-motorbike-visit, how-to-rent-a-motorbike-hanoi, what-to-wear-riding-motorbike-vietnam",published
MM-0852,Perfume Pagoda trip,"Perfume Pagoda by Motorbike: Ride, River and Cave Temple",perfume pagoda motorbike trip from hanoi,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,thay-pagoda-tay-phuong-pagoda-motorbike-route,Pilgrcomplex ride+boat+climb logistics; Thay/Tay Phuong guide covers the other pagoda pair,"best-motorbike-for-day-trips-from-hanoi, hanoi-pagodas-temples-motorbike-guide, thay-pagoda-tay-phuong-pagoda-motorbike-route, hydration-long-motorbike-rides, how-to-rent-a-motorbike-hanoi",published
MM-0853,Co Loa citadel ride,Co Loa Citadel by Motorbike: The Shortest History Ride From Hanoi,co loa citadel hanoi motorbike ride,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,bat-trang-pottery-village-motorbike-ride,Ancient-citadel destination guide northeast of the city; Bat Trang covers the east-bank craft village,"best-motorbike-for-day-trips-from-hanoi, red-river-dyke-riding-guide, crossing-hanoi-bridges-motorbike, exploring-cau-giay-by-motorbike, how-to-rent-a-motorbike-hanoi",published
MM-0854,Bac Ninh craft loop,But Thap Pagoda and Phu Lang Pottery by Motorbike: A Bac Ninh Craft Loop,but thap pagoda phu lang pottery motorbike ride hanoi,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,bat-trang-pottery-village-motorbike-ride,Cross-river craft-and-heritage loop; Bat Trang guide covers the Hanoi-side pottery village,"bat-trang-pottery-village-motorbike-ride, best-motorbike-for-day-trips-from-hanoi, co-loa-citadel-motorbike-ride, carrying-luggage-motorbike-safely-vietnam, how-to-rent-a-motorbike-hanoi",published
MM-0855,Dai Lai lake loop,Dai Lai Lake by Motorbike: The Easy Northern Loop From Hanoi,dai lai lake motorbike loop from hanoi,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,tam-dao-day-trip-motorbike,Lakeside resort-area loop guide; Tam Dao guide covers the hill station in the same direction,"best-motorbike-for-day-trips-from-hanoi, tam-dao-day-trip-motorbike, hot-weather-riding-motorbike-vietnam, where-to-park-motorbike-hanoi, how-to-rent-a-motorbike-hanoi",published
MM-0856,Quan Son lake ride,Quan Son Lake by Motorbike: Karst Scenery Without the Crowds,quan son lake my duc motorbike ride,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,perfume-pagoda-motorbike-trip,Quiet lake ecotourism area in the same district as the Perfume Pagoda; distinct destination and activities,"best-motorbike-for-day-trips-from-hanoi, perfume-pagoda-motorbike-trip, hanoi-lakes-motorbike-riding-guide, riding-motorbike-heavy-rain-vietnam, how-to-rent-a-motorbike-hanoi",published
MM-0857,Thung Nai day trip,Thung Nai by Motorbike: Hoa Binh Lake in a Day From Hanoi,thung nai hoa binh lake motorbike day trip,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,best-motorbike-for-long-distance-vietnam,Highway 6 corridor reservoir gateway guide with day-vs-overnight framing; long-distance guide covers bike choice,"best-motorbike-for-long-distance-vietnam, mountain-pass-riding-motorbike-vietnam, riding-fatigue-motorbike-vietnam, best-motorbike-for-day-trips-from-hanoi, how-to-rent-a-motorbike-hanoi",published
MM-0858,Ninh Binh day trip,Ninh Binh by Motorbike: Can You Do Hoa Lu and Tam Coc in a Day From Hanoi?,ninh binh day trip from hanoi by motorbike,informational,13-trips,13.1 day-trips,route-guide,tourists/expats,skeleton+research,R2,travel-facts,how-far-motorbike-day-trip-hanoi,Destination timing guide with route-legality framing (motorbikes excluded from expressways); distance guide covers general planning,"motorbikes-on-expressway-vietnam, best-motorbike-for-long-distance-vietnam, riding-fatigue-motorbike-vietnam, best-motorbike-for-day-trips-from-hanoi, thung-nai-hoa-binh-lake-motorbike-day-trip",published
